case_id,profile,attempt_id,stream,sha256,frames,sample_rate_hz,subtype,gain,status,exact_projection,threshold_fitting
C_overlap,P_MAIN6,QUAL_MAIN_05,focus0_asr_raw,cbc79d962bffc1f060ff1137e168474f0fa064ca0941ef5766ca995e7e611541,251148,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C_overlap,P_MAIN6,QUAL_MAIN_05,focus1_asr_raw,31614d6f73468a8e41aa81094009e70f5817e5c36569d3d341651ac0257561e3,251148,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C_overlap,P_MAIN6,QUAL_MAIN_05,focus0_pp_raw,af931b3908055a56a217fb5d7204a60d706438bc1eeacda71c7a451708b2d174,251148,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C_overlap,P_MAIN6,QUAL_MAIN_05,focus1_pp_raw,e8967965b816e5b70208e9b96081e1471d735ceab1e4048693f79b808a105daf,251148,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C_overlap_source_swap,P_MAIN6,QUAL_MAIN_06,auto_asr_raw,1ccbe1930f31d9db1b30886155fd2935f0461c3fd9132d38f22ef34e409f31d1,251148,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C_overlap_source_swap,P_MAIN6,QUAL_MAIN_06,auto_pp_raw,28becdb389e444deb65e61d2f06159f18e8c56897d1c24a369c04abd769c3cdb,251148,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C_overlap_source_swap,P_MAIN6,QUAL_MAIN_06,focus0_asr_raw,af9ae9a9c1b6cc5fbda10f80151c51b8d69837660f2ec2391e8404519702d2e1,251148,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C_overlap_source_swap,P_MAIN6,QUAL_MAIN_06,focus1_asr_raw,f3fbad7f165e040413ea84abee3614973fbeb1f635346d8c74ed54ca52605ef7,251148,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C_overlap_source_swap,P_MAIN6,QUAL_MAIN_06,focus0_pp_raw,5066a46608deb71e70e29a91114b3d4ffd32fe4d08a3641edb07d8759fa5772c,251148,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C_overlap_source_swap,P_MAIN6,QUAL_MAIN_06,focus1_pp_raw,9c23557e2721ef762779534ea5568fdd6c5bdf4d019a723ec00fd5ecb2b30105,251148,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C30_calibration_R04,P_MAIN6,C_CAL_MAIN_R04,auto_asr_raw,44c0a108c5729277bda0077e23c5341fa4c99b79ecb582a453b5163f28c5826a,2083127,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C30_calibration_R04,P_MAIN6,C_CAL_MAIN_R04,auto_pp_raw,b405435fa1baad49df5211fa0278394b2895cf0c9bba2ee7bcdcceee40069ac1,2083127,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C30_calibration_R04,P_MAIN6,C_CAL_MAIN_R04,focus0_asr_raw,4192b01ea5b36436febc76c1f8786930362f92f0c210db120027b7b14fdbbfed,2083127,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C30_calibration_R04,P_MAIN6,C_CAL_MAIN_R04,focus1_asr_raw,5d48cb8d8de4b6773eaac71e10a63638998c81785932964be1bbd3805763b8cc,2083127,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
