job_id,case_id,tap,status,reference_class,audio_sha256,cache_key,source_frames,delivered_frames,source_seconds,elapsed_seconds,session_event_rows,archive_event_rows,clock_rows,transcript_event_rows,latest_utterances,caption_rows,unique_word_spans,duplicate_span_ids,span_speaker_revisions_after_first,span_missing_first_label,span_missing_committed_label,exact_word_times,observed_clock_order_violations,raw_asr_fields,formatted_final_fields,raw_formatted_differing_fields,optional_corrected_fields,text_partial_events,text_final_events,label_revision_decisions,asr_loads_process_cumulative,speaker_loads_process_cumulative,source_history_reset,private_gallery_queries,wer_reference_words,wer_edits,wer,wer_status
N1_REGRESSION_S45_03_03_O0,S45_03_03,O0,COMPLETE,complete_nonoverlap,c69e22f55c28a8f06dcb26258dddf9accbcb17a34a4968bccc1daae21217f606,0f0ecdaf2cae4b6658bb54029cdaad2e64ac6b317c4384db6e0018c62b63d506,715127,715127,44.6954375,45.375,534,2386,330,1,1,6,10,0,0,0,0,0,0,6,6,6,0,10,1,7,1,1,True,0,10,0,0.0,DESCRIPTIVE_COMPLETE_NONOVERLAP_ONLY
N1_REGRESSION_S45_03_03_O1,S45_03_03,O1,COMPLETE,complete_nonoverlap,8cd39321e9c95a1bb8de32ee6cd47a9961dbb5a179f3493921a2a1686c6f142c,740bd37ca0adb9df831ed99ad6db2f611aad5f5dc388473cb0043b47f513e82b,715127,715127,44.6954375,45.25,80,2395,332,1,1,10,10,0,0,0,0,0,0,10,10,10,0,11,1,10,1,1,True,0,10,0,0.0,DESCRIPTIVE_COMPLETE_NONOVERLAP_ONLY
N1_REGRESSION_S45_06_07_O0,S45_06_07,O0,COMPLETE,complete_nonoverlap,deef29018bdf2c518638e416d0697095b709c98c15ed33cc640586e482205a1a,4fb4e7fadff049819ecaa3f32ccf8808d3f9d6a202e3aca12695b38fd7e896a9,715127,715127,44.6954375,45.32799999999952,165,2555,536,3,3,13,28,0,0,0,0,0,0,13,13,13,0,27,3,8,1,1,True,0,28,1,0.03571428571428571,DESCRIPTIVE_COMPLETE_NONOVERLAP_ONLY
N1_REGRESSION_S45_06_07_O1,S45_06_07,O1,COMPLETE,complete_nonoverlap,0355ea748e67e6f2b73a9dad8945d4639a13242f3b408313ac10af787850697e,c44dc71b10b6fdc2c091041d6f9dbaff13ca19cf009b5730949d343d2968d732,715127,715127,44.6954375,45.40599999999995,306,2566,524,3,3,16,28,0,0,0,0,0,0,16,16,16,0,28,3,11,1,1,True,0,28,0,0.0,DESCRIPTIVE_COMPLETE_NONOVERLAP_ONLY
N1_REGRESSION_S45_08_07_O0,S45_08_07,O0,COMPLETE,complete_nonoverlap,4126f87778ac12a14ab5128fb7c2ba67947ec4a7278344c2a1d14f48c51b4408,fc38852c25d304a3e98cd854d22f37ab408ff52c16ba5301ec2a90802ab3cc00,715127,715127,44.6954375,48.32799999999952,316,2701,713,3,3,23,41,0,0,0,0,0,0,23,23,23,0,37,3,20,1,1,True,0,41,1,0.024390243902439025,DESCRIPTIVE_COMPLETE_NONOVERLAP_ONLY
N1_REGRESSION_S45_08_07_O1,S45_08_07,O1,COMPLETE,complete_nonoverlap,7034fcffed1236ad1bdb8911efdc6d808bd131a2280335d466f9e8fa81ba36ee,16d91925ea247e6994155ef464224351d327b55db54592b8f51b6e6ff418e783,715127,715127,44.6954375,48.71900000000005,190,2696,705,3,3,23,41,0,0,0,0,0,0,23,23,23,0,38,3,20,1,1,True,0,41,1,0.024390243902439025,DESCRIPTIVE_COMPLETE_NONOVERLAP_ONLY
N1_REGRESSION_S45_12_15_O0,S45_12_15,O0,COMPLETE,empty_control,2749912b017d5f016bcd244874c05b4bc3c5c5a9d30cbd3a9948a0905516ebec,e6bcac506b6773bc0121c41379e0cf48d77b51a574243cf644eda57b01210073,715127,715127,44.6954375,45.3130000000001,392,2260,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,True,0,,,,OMITTED_EMPTY_DENOMINATOR
N1_REGRESSION_S45_12_15_O1,S45_12_15,O1,COMPLETE,empty_control,2749912b017d5f016bcd244874c05b4bc3c5c5a9d30cbd3a9948a0905516ebec,3cbd4f34251505b3b1c9da157d6e217dd9038fc061a5945d91d646a9defdd9f8,715127,715127,44.6954375,45.34400000000005,392,2260,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,True,0,,,,OMITTED_EMPTY_DENOMINATOR
